,Country,Code,Littered Plastic Waste,"Plastic waste generation (tonnes, total)",Littered waste(%)
0,Albania,ALB,1273.12,73364.0,1.735347036693746
1,Algeria,DZA,17331.66,1898343.0,0.9129888539636936
2,Angola,AGO,1719.88,528843.0,0.3252156121949236
4,Antigua and Barbuda,ATG,320.835,22804.0,1.4069242238203823
5,Argentina,ARG,21901.46,2753550.0,0.7953899511539649
6,Aruba,ABW,252.58,9352.0,2.7008126603934985
7,Australia,AUS,13888.98,900658.0,1.5420925589957564
8,Bahamas,BHS,967.25,51364.0,1.88312826103886
9,Bahrain,BHR,713.5749999999999,59785.0,1.193568620891528
10,Bangladesh,BGD,17686.805,1888170.0,0.9367167680876193
11,Barbados,BRB,1146.83,58164.0,1.9717179011072141
12,Belgium,BEL,2742.975,318151.0,0.8621613636292201
13,Belize,BLZ,252.215,20191.0,1.249145658956961
14,Benin,BEN,1013.97,144382.0,0.7022828330401296
15,Bermuda,BMU,122.64,5990.0,2.0474123539232054
16,Bosnia and Herzegovina,BIH,612.835,195633.0,0.3132574770105248
17,Brazil,BRA,89582.315,11852055.0,0.7558378272797418
18,British Virgin Islands,VGB,54.385,2504.0,2.1719249201277955
19,Brunei,BRN,67.52499999999999,3688.0,1.8309381778741862
20,Bulgaria,BGR,1119.455,415707.0,0.2692894274092089
21,Cambodia,KHM,667.22,344698.0,0.1935665423065988
22,Cameroon,CMR,664.3,335305.0,0.19811813125363475
23,Canada,CAN,7959.554999999999,1154309.0,0.6895514979091386
24,Cape Verde,CPV,246.74,11919.0,2.070140112425539
25,Cayman Islands,CYM,94.9,5106.0,1.8585977281629456
26,Channel Islands,OWID_CIS,281.05,14678.0,1.914770404687287
27,Chile,CHL,4853.04,738106.0,0.6574990584008259
28,China,CHN,231157.42,59079741.0,0.3912634281859834
31,Colombia,COL,7849.69,2413455.0,0.3252470006691652
32,Comoros,COM,1367.655,50599.0,2.70292891163857
33,Congo,COG,424.86,110479.0,0.3845617719204555
35,Costa Rica,CRI,4664.335,428029.0,1.0897240607528929
36,Cote d'Ivoire,CIV,4653.02,766988.0,0.606661381925141
37,Croatia,HRV,2936.06,406347.0,0.7225499388453711
38,Cuba,CUB,7337.96,368154.0,1.9931767684175643
39,Curacao,CUW,263.53,13678.0,1.9266705658722032
40,Cyprus,CYP,1517.67,100713.0,1.506925620327068
41,Democratic Republic of Congo,COD,351.495,1059795.0,0.03316631990149038
42,Denmark,DNK,1790.69,95171.0,1.8815500520116422
43,Djibouti,DJI,464.28,31999.0,1.4509203412606644
44,Dominica,DMA,75.92,3885.0,1.9541827541827541
45,Dominican Republic,DOM,8618.015,520238.0,1.6565523856388806
46,Ecuador,ECU,6836.815,801321.0,0.853193039992712
47,Egypt,EGY,28170.335,5464471.0,0.5155180620411381
48,El Salvador,SLV,6848.13,330763.0,2.07040388435224
49,Equatorial Guinea,GNQ,367.92,49990.0,0.7359871974394879
50,Eritrea,ERI,413.545,72120.0,0.573412368275097
51,Estonia,EST,1126.025,85534.0,1.3164647976243367
52,Faeroe Islands,FRO,92.71,4466.0,2.0759068517689205
54,Fiji,FJI,1229.685,59324.0,2.0728288719573866
55,Finland,FIN,4984.805,458084.0,1.0881857912522594
56,France,FRA,24108.615,4557128.0,0.5290308940192157
58,French Polynesia,PYF,495.67,24634.0,2.0121376958675
59,Gabon,GAB,338.355,32329.0,1.04659902873581
60,Gambia,GMB,458.44,29646.0,1.5463806247048506
61,Georgia,GEO,547.865,97443.0,0.5622415155526821
62,Germany,DEU,31238.89,14476561.0,0.21578944059987729
63,Ghana,GHA,2206.06,357877.0,0.6164296671761527
64,Gibraltar,GIB,61.32,3053.0,2.008516213560432
65,Greece,GRC,14228.795,811858.0,1.7526211480332767
66,Greenland,GRL,104.39,5234.0,1.9944593045471914
67,Grenada,GRD,227.395,12417.0,1.8313199645647096
69,Guam,GUM,349.67,14666.0,2.3842220100913676
70,Guatemala,GTM,4872.75,1495229.0,0.32588653644358156
72,Guinea,GIN,432.89,118196.0,0.36624758875088836
73,Guinea-Bissau,GNB,473.77,30666.0,1.544935759473032
74,Guyana,GUY,2186.715,159681.0,1.369427170421027
75,Haiti,HTI,5981.985,328487.0,1.8210720667788984
76,Honduras,HND,4556.66,565317.0,0.8060362593023029
77,Hong Kong,HKG,21947.815,1020406.0,2.150890429887711
78,Iceland,ISL,598.235,32620.0,1.8339515634580013
79,India,IND,13728.015,4493080.0,0.30553684777480034
80,Indonesia,IDN,77821.65,5045714.0,1.542331769101459
81,Iran,IRN,9525.77,3919268.0,0.24304972255023133
82,Iraq,IRQ,477.42,1156524.0,0.041280595992819864
83,Ireland,IRL,11709.93,715716.0,1.6361140452358198
84,Israel,ISR,14416.77,826436.0,1.7444508709688349
85,Italy,ITA,32760.575,2899258.0,1.1299641149563096
86,Jamaica,JAM,702.26,34962.0,2.0086379497740405
87,Japan,JPN,143120.88,7993489.0,1.7904682173203716
88,Jordan,JOR,58.035,377506.0,0.01537326559048068
89,Kenya,KEN,535.09,407506.0,0.1313084960712235
90,Kiribati,KIR,70.445,3859.0,1.8254729204457112
91,Kuwait,KWT,11444.575,750690.0,1.5245407558379624
92,Latvia,LVA,1286.625,94935.0,1.3552693948491072
93,Lebanon,LBN,2664.5,148807.0,1.7905743681412836
94,Liberia,LBR,1312.54,121050.0,1.084295745559686
95,Libya,LBY,4239.84,324250.0,1.3075836545875097
96,Lithuania,LTU,425.955,149227.0,0.28544097247817085
97,Macao,MAC,690.5799999999999,72126.0,0.9574633280647755
98,Madagascar,MDG,804.095,123526.0,0.6509520262940596
99,Malaysia,MYS,32891.61,2031675.0,1.6189405293661634
100,Maldives,MDV,920.53,43134.0,2.1341169379144063
101,Malta,MLT,628.53,32377.0,1.9412854804336412
102,Marshall Islands,MHL,81.03,3674.0,2.2054980947196516
104,Mauritania,MRT,328.5,59287.0,0.5540843692546427
105,Mauritius,MUS,2098.02,104971.0,1.998666298310962
106,Mexico,MEX,14248.14,3725463.0,0.3824528655901293
107,Micronesia (country),FSM,115.705,3895.0,2.9706033376123235
108,Monaco,MCO,62.415,3412.0,1.8292790152403282
109,Montenegro,MNE,272.655,32557.0,0.8374696685812574
111,Morocco,MAR,9128.65,863555.0,1.0571011690048695
112,Mozambique,MOZ,1070.545,132612.0,0.8072761137755256
113,Myanmar,MMR,10337.895,1373018.0,0.7529322266714639
114,Namibia,NAM,162.42499999999998,114222.0,0.14220115214231932
115,Nauru,NRU,16.06,527.0,3.0474383301707775
116,Netherlands,NLD,27699.85,2571398.0,1.0772291959471074
118,New Caledonia,NCL,472.31,22995.0,2.0539682539682538
119,New Zealand,NZL,9285.6,525630.0,1.7665658352833742
120,Nicaragua,NIC,3621.53,299480.0,1.209272739414986
121,Nigeria,NGA,20520.665,5961750.0,0.3442053927118715
124,North Korea,PRK,6792.65,484700.0,1.401413245306375
125,Northern Mariana Islands,MNP,194.545,5006.0,3.8862365161805834
126,Norway,NOR,8403.03,499682.0,1.6816755456470318
127,Oman,OMN,1586.29,93251.0,1.7010970391738427
128,Pakistan,PAK,10890.14,6412210.0,0.1698344252605576
129,Palau,PLW,24.455,1076.0,2.2727695167286246
130,Palestine,PSE,1396.125,87636.0,1.5930953033000137
131,Panama,PAN,3429.905,192818.0,1.7788302959267288
132,Papua New Guinea,PNG,2052.03,267234.0,0.767877590426368
133,Peru,PER,14410.2,1543879.0,0.9333762555226154
134,Philippines,PHL,45534.845,2565766.0,1.7747076311713539
135,Poland,POL,2302.42,1346905.0,0.17094152891258108
136,Portugal,PRT,16402.37,1022683.0,1.603856718064151
137,Puerto Rico,PRI,7785.45,342306.0,2.2744123678813692
138,Qatar,QAT,757.74,103933.0,0.7290658404933947
140,Romania,ROU,262.435,310385.0,0.08455144417417079
141,Russia,RUS,8772.045,5839685.0,0.1502143523152362
143,Saint Kitts and Nevis,KNA,171.54999999999998,12280.0,1.396986970684039
144,Saint Lucia,LCA,619.405,32882.0,1.8837205766072624
146,Saint Vincent and the Grenadines,VCT,193.085,8818.0,2.1896688591517353
147,Samoa,WSM,125.56,7000.0,1.7937142857142858
148,Sao Tome and Principe,STP,122.275,6571.0,1.8608278800791356
149,Saudi Arabia,SAU,4075.225,1561618.0,0.2609617076647426
150,Senegal,SEN,6068.125,485586.0,1.2496499075344016
151,Seychelles,SYC,237.615,11730.0,2.025703324808184
152,Sierra Leone,SLE,848.625,96655.0,0.8779938958150122
153,Singapore,SGP,6328.005,359483.0,1.760307163342912
154,Sint Maarten (Dutch part),SXM,68.62,3263.0,2.1029727244866687
155,Slovenia,SVN,355.145,108421.0,0.32756108134033074
156,Solomon Islands,SLB,462.09,19842.0,2.328847898397339
157,Somalia,SOM,2340.745,237569.0,0.9852905892603833
158,South Africa,ZAF,22505.17,4465798.0,0.5039450955909783
159,South Korea,KOR,33746.805,2025772.0,1.6658738002104876
160,Spain,ESP,45852.395,4709157.0,0.9736858422855725
161,Sri Lanka,LKA,37695.01,2621606.0,1.4378594647708314
162,Sudan,SDN,562.1,1292740.0,0.04348128780729304
163,Suriname,SUR,477.42,31300.0,1.5253035143769968
164,Sweden,SWE,2150.58,164305.0,1.3088950427558503
165,Syria,SYR,4690.98,1365594.0,0.34351205409514096
167,Tanzania,TZA,1136.245,386998.0,0.2936048765109897
168,Thailand,THA,27262.945,3532495.0,0.7717758977719714
169,Togo,TGO,827.8199999999999,135294.0,0.6118674885804248
171,Tonga,TON,165.71,8476.0,1.9550495516753186
172,Trinidad and Tobago,TTO,35628.38,1745123.0,2.0415970679430617
173,Tunisia,TUN,7615.724999999999,559235.0,1.3618112242617146
174,Turkey,TUR,52564.38,5596657.0,0.9392103178736878
175,Turks and Caicos Islands,TCA,41.245,2851.0,1.4466853735531393
176,Tuvalu,TUV,12.045,554.0,2.1741877256317688
177,Ukraine,UKR,5088.099999999999,1724509.0,0.2950463001352849
178,United Arab Emirates,ARE,2922.555,600741.0,0.48649168277177685
179,United Kingdom,GBR,67549.09,4925590.0,1.371390838457931
180,United States,USA,275424.62,37825550.0,0.7281443891760992
181,Uruguay,URY,4458.11,310379.0,1.4363439536824332
182,Vanuatu,VUT,539.835,25443.0,2.1217427190189837
183,Venezuela,VEN,29484.7,2669998.0,1.1042967073383576
184,Vietnam,VNM,41716.58,3268227.0,1.2764284732976015
185,Yemen,YEM,4517.605,887497.0,0.5090276361497559
