,Country,Code,"Plastic waste generation (tonnes, total)",Population,Continent,Plastic/Population,% share
0,Albania,ALB,73364,2877239.0,Europe,0.025498055601220475,0.027043688606368365
1,Algeria,DZA,1898343,43984569.0,Africa,0.04315929525193256,0.6997736895490859
2,Angola,AGO,528843,33032075.0,Africa,0.016009984235020053,0.19494391545795847
3,Antigua and Barbuda,ATG,22804,98069.0,Americas,0.23253015733820065,0.008406088476359307
4,Argentina,ARG,2753550,45267449.0,Americas,0.06082847743419339,1.0150230189475167
5,Aruba,ABW,9352,106845.0,Americas,0.08752866301651925,0.0034473662265792067
6,Australia,AUS,900658,25550683.0,Oceania,0.035249860052664735,0.3320036324741633
7,Bahamas,BHS,51364,393893.0,Americas,0.1304008956747137,0.01893397335992455
8,Bahrain,BHR,59785,1711057.0,Asia,0.03494039064741852,0.022038151182211065
9,Bangladesh,BGD,1888170,164972348.0,Asia,0.011445372651179094,0.6960236834944462
10,Barbados,BRB,58164,287437.0,Americas,0.20235390711703782,0.021440612617916275
11,Belgium,BEL,318151,11598451.0,Europe,0.027430473258886034,0.11727790978960663
12,Belize,BLZ,20191,398845.0,Americas,0.050623675864057464,0.007442875479133957
13,Benin,BEN,144382,12175480.0,Africa,0.011858423651470003,0.05322258666872958
14,Bermuda,BMU,5990,62237.0,Americas,0.09624499895560519,0.0022080542875544747
15,Bosnia and Herzegovina,BIH,195633,3277152.0,Europe,0.05969604095263204,0.07211490558216103
16,Brazil,BRA,11852055,212821986.0,Americas,0.055689993420134705,4.3689450515995745
17,British Virgin Islands,VGB,2504,30266.0,Americas,0.08273309984801427,0.0009230330444134232
18,Brunei,BRN,3688,438202.0,Asia,0.0084162098758107,0.0013594831740402177
19,Bulgaria,BGR,415707,6939018.0,Europe,0.05990862107577758,0.15323933617970084
20,Cambodia,KHM,344698,16758448.0,Asia,0.020568611126758278,0.12706375572812226
21,Cameroon,CMR,335305,26655083.0,Africa,0.012579401834914563,0.12360127594131105
22,Canada,CAN,1154309,37799407.0,Americas,0.03053775420339266,0.42550533165487786
24,Cayman Islands,CYM,5106,65854.0,Americas,0.07753515352142619,0.0018821911840155507
26,Chile,CHL,738106,19144605.0,Americas,0.03855425588566596,0.2720831582587117
27,China,CHN,59079741,1440297825.0,Asia,0.04101911422382381,21.778176197438714
28,Colombia,COL,2413455,50976248.0,Americas,0.04734469669089808,0.8896560368230025
29,Comoros,COM,50599,872695.0,Africa,0.05798016489151422,0.01865197644340048
30,Congo,COG,110479,5540555.0,Africa,0.019940060156428373,0.04072514685053937
31,Costa Rica,CRI,428029,5102158.0,Americas,0.08389175717412123,0.15778151396454998
33,Croatia,HRV,406347,4100719.0,Europe,0.09909164709895996,0.1497890209657593
34,Cuba,CUB,368154,11325391.0,Americas,0.032506957154945025,0.13571018667451254
36,Cyprus,CYP,100713,1208886.0,Asia,0.08331058511720708,0.037125170527958905
38,Denmark,DNK,95171,5795780.0,Europe,0.016420740607821553,0.03508225953269565
39,Djibouti,DJI,31999,990447.0,Africa,0.03230763483558434,0.011795580825952529
40,Dominica,DMA,3885,72017.0,Americas,0.053945596178680034,0.001432101987837919
41,Dominican Republic,DOM,520238,10866667.0,Americas,0.04787466110813923,0.19177191092633805
42,Ecuador,ECU,801321,17688599.0,Americas,0.04530155271200393,0.29538568777252744
43,Egypt,EGY,5464471,102659126.0,Africa,0.05322927646978019,2.014331990111367
44,El Salvador,SLV,330763,6491923.0,Americas,0.05094992654718795,0.1219269883663407
45,Equatorial Guinea,GNQ,49990,1410419.0,Africa,0.03544336824730807,0.018427484780442104
46,Eritrea,ERI,72120,3554797.0,Africa,0.02028807833471222,0.026585121071523995
47,Estonia,EST,85534,1326693.0,Europe,0.06447158460925022,0.031529835631332964
48,Faeroe Islands,FRO,4466,48896.0,Europe,0.09133671465968586,0.0016462721950280942
49,Fiji,FJI,59324,897573.0,Oceania,0.06609378847180118,0.021868215785456037
50,Finland,FIN,458084,5542237.0,Europe,0.08265326798547229,0.1688604908614531
51,France,FRA,4557128,65298930.0,Europe,0.06978870863580766,1.6798641100725458
52,French Polynesia,PYF,24634,281191.0,Oceania,0.08760593333357042,0.009080669335495315
53,Gabon,GAB,32329,2234448.0,Africa,0.014468450373425562,0.011917226554649185
54,Gambia,GMB,29646,2427782.0,Africa,0.012211145811279595,0.010928209918003333
55,Georgia,GEO,97443,3987805.0,Asia,0.02443524695916676,0.03591977194360112
56,Germany,DEU,14476561,83830972.0,Europe,0.1726875002713794,5.336399429898814
57,Ghana,GHA,357877,31181428.0,Africa,0.011477248572451524,0.1319218437841624
58,Gibraltar,GIB,3053,33689.0,Europe,0.0906230520347888,0.0011254073021542256
59,Greece,GRC,811858,10413936.0,Europe,0.07795880443282924,0.2992698727521537
60,Greenland,GRL,5234,56787.0,Americas,0.09216898233750682,0.001929374981813042
61,Grenada,GRD,12417,112614.0,Americas,0.11026160157706857,0.004577197009776947
62,Guam,GUM,14666,169031.0,Oceania,0.0867651495879454,0.005406231082015681
63,Guatemala,GTM,1495229,17971382.0,Americas,0.08320055741956851,0.5511764281011335
64,Guinea,GIN,118196,13191279.0,Africa,0.008960162240522696,0.04356981378493969
65,Guinea-Bissau,GNB,30666,1975718.0,Africa,0.015521445874360612,0.011304205806702092
66,Guyana,GUY,159681,787215.0,Americas,0.20284293363312436,0.05886215637579067
67,Haiti,HTI,328487,11426356.0,Americas,0.02874818533572733,0.12108800146175405
68,Honduras,HND,565317,9931333.0,Americas,0.05692257021288079,0.2083890860897217
69,Hong Kong,HKG,1020406,7507523.0,Asia,0.13591779872003057,0.37614554980739756
70,Iceland,ISL,32620,341628.0,Europe,0.09548397672321941,0.012024495969954418
71,India,IND,4493080,1382345085.0,Asia,0.0032503316637466106,1.6562545172496261
72,Indonesia,IDN,5045714,274021604.0,Asia,0.018413562749599845,1.859968352499773
73,Iran,IRN,3919268,84176929.0,Asia,0.04655988340938406,1.444733975204516
74,Iraq,IRQ,1156524,40372771.0,Asia,0.02864613875525165,0.4263218325308266
75,Ireland,IRL,715716,4947267.0,Europe,0.14466896571379714,0.2638296798783537
76,Israel,ISR,826436,8678517.0,Asia,0.09522779064671993,0.3046436649731836
77,Italy,ITA,2899258,60446035.0,Europe,0.047964403289645054,1.0687344002715546
78,Jamaica,JAM,34962,2963429.0,Americas,0.01179781935048891,0.012887812020280392
79,Japan,JPN,7993489,126407422.0,Asia,0.06323591505568399,2.9465872552536783
80,Jordan,JOR,377506,10220604.0,Asia,0.03693578187747026,0.13915755290109175
81,Kenya,KEN,407506,53968739.0,Africa,0.007550778609075895,0.15021625550987877
82,Kiribati,KIR,3859,119760.0,Oceania,0.032222778891115564,0.0014225177789103035
83,Kuwait,KWT,750690,4281320.0,Asia,0.17534078274924556,0.2767219153796776
84,Latvia,LVA,94935,1882408.0,Europe,0.050432743592249925,0.03499526440550652
85,Lebanon,LBN,148807,6819976.0,Asia,0.0218192849945513,0.054853745303525665
86,Liberia,LBR,121050,5077411.0,Africa,0.02384089056410836,0.044621865026455626
87,Libya,LBY,324250,6887247.0,Africa,0.047079769318568075,0.11952614402997304
88,Lithuania,LTU,149227,2715340.0,Europe,0.0549570219567347,0.05500856714004868
89,Macao,MAC,72126,650846.0,Asia,0.11081884193803142,0.026587332812045752
90,Madagascar,MDG,123526,27808395.0,Africa,0.004442039894787168,0.045534576615100845
91,Malaysia,MYS,2031675,32436963.0,Asia,0.06263456292131911,0.7489229874235789
92,Maldives,MDV,43134,542151.0,Asia,0.0795608603507141,0.015900202610913978
93,Malta,MLT,32377,441750.0,Europe,0.07329258630447086,0.011934920478823245
94,Marshall Islands,MHL,3674,59259.0,Oceania,0.06199902124571795,0.001354322446156117
95,Mauritania,MRT,59287,4669775.0,Africa,0.012695900766096868,0.0218545767189052
96,Mauritius,MUS,104971,1272140.0,Africa,0.08251528919772981,0.038694769051566075
97,Mexico,MEX,3725463,129166028.0,Americas,0.02884243680544237,1.3732929132346505
99,Monaco,MCO,3412,39290.0,Europe,0.08684143547976585,0.001257743110039377
100,Montenegro,MNE,32557,628080.0,Europe,0.05183575340720927,0.012001272694475967
101,Morocco,MAR,863555,36985624.0,Africa,0.02334839612277462,0.31832659771103583
102,Mozambique,MOZ,132612,31398811.0,Africa,0.004223472028924917,0.04888388901188214
103,Myanmar,MMR,1373018,54473253.0,Asia,0.025205360876832526,0.5061265912837178
104,Namibia,NAM,114222,2548663.0,Africa,0.04481643905059241,0.0421049043126957
105,Nauru,NRU,527,10836.0,Oceania,0.04863418235511259,0.00019426454249435863
106,Netherlands,NLD,2571398,17141544.0,Europe,0.1500097074102543,0.9478775256943242
107,New Caledonia,NCL,22995,285972.0,Oceania,0.0804099702068734,0.008476495549635251
108,New Zealand,NZL,525630,4829021.0,Oceania,0.10884814955246623,0.19375952840855737
109,Nicaragua,NIC,299480,6638075.0,Americas,0.045115489053678966,0.11039534190931789
110,Nigeria,NGA,5961750,206984347.0,Africa,0.028802902665871637,2.1976406759312006
111,North Korea,PRK,484700,25798588.0,Asia,0.018787849939694373,0.17867177181596894
112,Northern Mariana Islands,MNP,5006,57619.0,Oceania,0.08688106353806904,0.0018453288419862607
113,Norway,NOR,499682,5428594.0,Europe,0.0920463014916938,0.1841944878987972
114,Oman,OMN,93251,5128058.0,Asia,0.018184466712349977,0.03437450256573328
115,Pakistan,PAK,6412210,221612785.0,Asia,0.028934296367423024,2.3636907818363406
116,Palau,PLW,1076,18109.0,Oceania,0.05941796896570766,0.0003966388002351611
118,Panama,PAN,192818,4326296.0,Americas,0.04456884133679249,0.07107723065403651
119,Papua New Guinea,PNG,267234,8975531.0,Oceania,0.029773614508155563,0.09850871109855301
120,Peru,PER,1543879,33050211.0,Americas,0.0467131359615223,0.5691099574983831
121,Philippines,PHL,2565766,109830324.0,Asia,0.02336118028751331,0.9458014385912346
122,Poland,POL,1346905,37839255.0,Europe,0.03559544182357713,0.49650072790960936
123,Portugal,PRT,1022683,10191409.0,Europe,0.10034755743783809,0.3769849053354045
124,Puerto Rico,PRI,342306,2846860.0,Americas,0.12023984319566118,0.12618200850678166
125,Qatar,QAT,103933,2889284.0,Asia,0.03597188784487783,0.038312137941302046
126,Romania,ROU,310385,19214608.0,Europe,0.01615359522296786,0.11441518030761197
127,Russia,RUS,5839685,145945524.0,Europe,0.040012772162851665,2.1526446581331475
129,Saint Lucia,LCA,32882,183774.0,Americas,0.17892628989955053,0.01212107530607116
131,Samoa,WSM,7000,198643.0,Oceania,0.03523909727501095,0.0025803639420503045
133,Saudi Arabia,SAU,1561618,34905942.0,Asia,0.044737884455317095,0.5756489683509589
134,Senegal,SEN,485586,16816539.0,Africa,0.028875501671301092,0.17899837216634845
135,Seychelles,SYC,11730,98453.0,Africa,0.1191431444445573,0.0043239527200357245
136,Sierra Leone,SLE,96655,8004158.0,Africa,0.012075598707571739,0.03562929668841031
137,Singapore,SGP,359483,5858322.0,Asia,0.06136279296358241,0.1325138529971528
139,Slovenia,SVN,108421,2078989.0,Europe,0.05215082908086575,0.03996651985157658
140,Solomon Islands,SLB,19842,689671.0,Oceania,0.02877023972299836,0.007314225905451735
141,Somalia,SOM,237569,15965848.0,Africa,0.014879823483224943,0.08757349733556412
142,South Africa,ZAF,4465798,59436725.0,Africa,0.07513533089180133,1.646197733097195
143,South Korea,KOR,2025772,51276977.0,Asia,0.03950646310526457,0.7467470033735899
144,Spain,ESP,4709157,46757980.0,Europe,0.10071343971660025,1.7359055600362552
145,Sri Lanka,LKA,2621606,21428970.0,Asia,0.12233933782164985,0.9663853703803901
146,Sudan,SDN,1292740,44019263.0,Africa,0.029367597544738538,0.47653424034944436
147,Suriname,SUR,31300,587541.0,Americas,0.05327287797787729,0.01153791305516779
148,Sweden,SWE,164305,10110233.0,Europe,0.016251356422745153,0.06056667107122504
149,Syria,SYR,1365594,17571053.0,Asia,0.07771839285898233,0.5033899310114633
150,Tanzania,TZA,386998,60012400.0,Africa,0.006448633948983876,0.14265652640651197
151,Thailand,THA,3532495,69830779.0,Asia,0.050586504269127516,1.3021603890675701
152,Togo,TGO,135294,8310934.0,Africa,0.01627903674845691,0.0498725370251077
153,Tonga,TON,8476,105901.0,Oceania,0.08003701570334558,0.003124452110402626
154,Trinidad and Tobago,TTO,1745123,1400283.0,Americas,1.2462645051036112,0.6432932090918076
155,Tunisia,TUN,559235,11839918.0,Africa,0.04723301293133956,0.2061471184475003
156,Turkey,TUR,5596657,84495243.0,Asia,0.06623635605142883,2.0630588455462044
158,Tuvalu,TUV,554,11817.0,Oceania,0.046881611238046884,0.00020421737484226695
159,Ukraine,UKR,1724509,43686577.0,Europe,0.039474573620176284,0.6356944059058898
160,United Arab Emirates,ARE,600741,9910892.0,Asia,0.06061422120228936,0.22144720213017743
161,United Kingdom,GBR,4925590,67948282.0,Europe,0.07249028018103533,1.8156878327605086
162,United States,USA,37825550,331341050.0,Americas,0.11415896098596899,13.943383615460128
163,Uruguay,URY,310379,3475842.0,Americas,0.0892960612133693,0.11441296856709021
164,Vanuatu,VUT,25443,308337.0,Oceania,0.08251685655630041,0.00937888568251227
165,Venezuela,VEN,2669998,28421581.0,Americas,0.09394262761103965,0.9842237949352042
166,Vietnam,VNM,3268227,97490013.0,Asia,0.03352371078255985,1.2047450150336059
167,Yemen,YEM,887497,29935468.0,Asia,0.02964700601974888,0.32715217963968846
